 33,48784799   43,99242907    1,233317766   76,64905596    10,92033115    -3,457681411
-16,32539067   -7,38573077  -53,68857511     7,174573103  -48,96054902   -34,80743459
 28,87356971    9,93673502   32,834853      65,79645427   -20,5539598     -2,838903002
-28,12136667  -21,81578867    9,947151882  -17,61127975   -32,12827465    14,46360891
 22,68870403   35,47679113   51,83048086    71,45521304     1,048302818   92,32962219
 35,54462591  -40,93255363   -4,53635491    -9,074195598   -1,341540874  -63,47659506
 24,15115291   32,306503     64,42754092    59,8610557      6,251996503   58,46964199
 17,5471593   -46,23708554   48,95485943    -7,461205338  -18,04268674   -17,41001472
-20,31796221   -3,31129662  -10,31338095    34,1766795    -45,57505076    32,74447205
 12,39488558  -36,79508685  -19,53242711    -6,956586052  -21,88182716   -73,47132366
 27,66570663   30,9554512   -17,36314628    38,75880978    31,10689373   -10,74454103
-46,8017188    45,87586479  -92,42175616    53,78167447   -55,20270478    -2,601587363
-40,46330964  -24,86237797  -38,16435059     7,556209095  -74,25770301     3,273623911
-46,07805069  -49,41949623   -2,385316879  -46,35599952   -73,24577553   -12,62958578
-30,80938208    2,11421203  -45,41153675    35,78418499   -79,57721381    -7,834896695
  7,13671682  -33,29391135    9,370794157   10,64933498   -47,22719711     0,309732241
 -7,93762514   22,58790441   -0,32088955    80,48907194   -58,40286406    29,22647118
 22,38575536   36,50102931   -0,582528352   66,14403765   -33,06400932    16,30787212
-15,37712802   33,64657908   -2,248646628   84,89160788   -65,51456269    65,60425218
 48,10548819  -29,51255444   93,53179947   -14,96125748    22,38339115    -3,940367425
-44,35932995  -38,29442261  -99,0122312    -27,89207758   -26,46862727   -84,38324075
 43,01878152  -15,72436604   51,63941455    24,56365558   -15,14871433   -25,18693453
 49,99575926   40,02644792   49,47575907    96,52405495     1,708622029   -5,054874189
-23,30749566   27,12111614    6,200506152   44,41035641   -53,60497669    51,09358217
-30,19742373  -16,20186262  -47,13000413    21,79613321   -67,64737054   -32,89022409
